Variant,Test_Year,Feature,Baseline_BA,Mean_BA_Drop,Std_BA_Drop,Baseline_AUC,Mean_AUC_Drop,Std_AUC_Drop,N_Repeats,Rank_AUC
C,2024,QQQ_Log_Return_1D,0.5354437229437229,0.0016639610389609816,0.0333447444714774,0.5488365800865801,0.019265422077922086,0.04737194379832992,100,3
C,2024,Daily_Range,0.5354437229437229,0.0006412337662337142,0.009797835063880581,0.5488365800865801,0.01887716450216452,0.01777962799284443,100,4
C,2024,Relative_Volume_20D,0.5354437229437229,0.014431818181818119,0.023619170811183674,0.5488365800865801,0.017724567099567108,0.032687615075558854,100,5
C,2024,QQQ_Volatility_14D,0.5354437229437229,0.000576298701298652,0.01451007237089282,0.5488365800865801,0.0034199134199134405,0.019339060051939545,100,6
C,2024,Stock_vs_QQQ_5D,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,7
C,2024,Price_to_SMA20,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,8
C,2024,Stock_vs_QQQ_1D,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,9
C,2024,Stock_vs_QQQ_3D,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,10
C,2024,Intraday_Return,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,11
C,2024,Ticker,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,12
C,2024,QQQ_Log_Return_5D,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,13
C,2024,Has_EX99,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,14
C,2024,Has_Event_Earnings,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,15
C,2024,Has_Item_5_02,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,16
C,2024,Has_Event_Guidance,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,17
C,2024,Has_Event_Buyback,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,18
C,2024,Has_Item_1_01,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,19
C,2024,Has_Item_1_02,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,20
C,2024,Has_Item_2_01,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,21
C,2024,Has_Item_2_02,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,22
C,2024,Has_Item_2_03,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,23
C,2024,Has_Item_8_01,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,24
C,2024,Has_Item_5_03,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,25
C,2024,Has_Item_5_07,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,26
C,2024,Has_Item_7_01,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,27
C,2024,Mean_Net_Sentiment,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,28
C,2024,Has_Sentiment_History,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,29
C,2024,Sentiment_Momentum_3,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,30
C,2024,QQQ_Log_Return_3D,0.5354437229437229,0.0,0.0,0.5488365800865801,-0.0015219155844155695,0.0017628444362727366,100,31
A,2025,Stock_vs_QQQ_3D,0.47547238372093026,0.02532885174418607,0.015468804422558128,0.46611555232558144,0.03684320494186052,0.0217448737028915,100,1
A,2025,Relative_Volume_20D,0.47547238372093026,-0.008232194767441844,0.02207242750572038,0.46611555232558144,0.020277071220930257,0.029661963992911978,100,2
A,2025,QQQ_Log_Return_1D,0.47547238372093026,0.00794694767441864,0.004833773254389972,0.46611555232558144,0.016088299418604676,0.008458843580943797,100,3
A,2025,Intraday_Return,0.47547238372093026,0.001740552325581422,0.013068291995419689,0.46611555232558144,0.003103197674418664,0.018326225092137997,100,4
A,2025,Stock_vs_QQQ_5D,0.47547238372093026,0.0,0.0,0.46611555232558144,0.001278161337209301,0.0009008980334893163,100,5
A,2025,Stock_vs_QQQ_1D,0.47547238372093026,0.0,0.0,0.46611555232558144,0.0,0.0,100,6
A,2025,QQQ_Log_Return_3D,0.47547238372093026,0.0,0.0,0.46611555232558144,0.0,0.0,100,7
A,2025,QQQ_Log_Return_5D,0.47547238372093026,0.0,0.0,0.46611555232558144,0.0,0.0,100,8
A,2025,Price_to_SMA20,0.47547238372093026,0.0,0.0,0.46611555232558144,0.0,0.0,100,9
A,2025,Daily_Range,0.47547238372093026,0.0,0.0,0.46611555232558144,0.0,0.0,100,10
A,2025,Ticker,0.47547238372093026,0.0,0.0,0.46611555232558144,0.0,0.0,100,11
A,2025,Volatility_14D,0.47547238372093026,-0.0028978924418604527,0.00732699709411699,0.46611555232558144,-0.0044022529069767365,0.01115131058772223,100,12
A,2025,RSI_14,0.47547238372093026,-0.029429505813953493,0.024656145159897336,0.46611555232558144,-0.03211119186046508,0.024544044358552824,100,13
A,2025,QQQ_Volatility_14D,0.47547238372093026,-0.003006904069767417,0.006283894469855154,0.46611555232558144,-0.05112281976744182,0.02227057235496792,100,14
B,2025,Stock_vs_QQQ_3D,0.47547238372093026,0.02532885174418607,0.015468804422558128,0.464389534883721,0.03684320494186052,0.0217448737028915,100,1
B,2025,Relative_Volume_20D,0.47547238372093026,-0.008232194767441844,0.02207242750572038,0.464389534883721,0.01858557412790701,0.0296900219483845,100,2
B,2025,QQQ_Log_Return_1D,0.47547238372093026,0.00794694767441864,0.004833773254389972,0.464389534883721,0.014917332848837249,0.00839555536685994,100,3
B,2025,Intraday_Return,0.47547238372093026,0.001740552325581422,0.013068291995419689,0.464389534883721,0.0031031976744186644,0.018326225092137997,100,4
B,2025,QQQ_Log_Return_3D,0.47547238372093026,0.0,0.0,0.464389534883721,0.0,0.0,100,5
B,2025,Stock_vs_QQQ_5D,0.47547238372093026,0.0,0.0,0.464389534883721,0.0,0.0,100,6
B,2025,Stock_vs_QQQ_1D,0.47547238372093026,0.0,0.0,0.464389534883721,0.0,0.0,100,7
B,2025,Price_to_SMA20,0.47547238372093026,0.0,0.0,0.464389534883721,0.0,0.0,100,8
B,2025,QQQ_Log_Return_5D,0.47547238372093026,0.0,0.0,0.464389534883721,0.0,0.0,100,9
B,2025,Daily_Range,0.47547238372093026,0.0,0.0,0.464389534883721,0.0,0.0,100,10
B,2025,Has_EX99,0.47547238372093026,0.0,0.0,0.464389534883721,0.0,0.0,100,11
B,2025,Ticker,0.47547238372093026,0.0,0.0,0.464389534883721,0.0,0.0,100,12
B,2025,Has_Item_5_03,0.47547238372093026,0.0,0.0,0.464389534883721,0.0,0.0,100,13
B,2025,Has_Item_2_02,0.47547238372093026,0.0,0.0,0.464389534883721,0.0,0.0,100,14
B,2025,Has_Event_Earnings,0.47547238372093026,0.0,0.0,0.464389534883721,0.0,0.0,100,15
B,2025,Has_Event_Guidance,0.47547238372093026,0.0,0.0,0.464389534883721,0.0,0.0,100,16
B,2025,Has_Item_1_01,0.47547238372093026,0.0,0.0,0.464389534883721,0.0,0.0,100,17
B,2025,Has_Event_Buyback,0.47547238372093026,0.0,0.0,0.464389534883721,0.0,0.0,100,18
B,2025,Has_Item_1_02,0.47547238372093026,0.0,0.0,0.464389534883721,0.0,0.0,100,19
B,2025,Has_Item_2_01,0.47547238372093026,0.0,0.0,0.464389534883721,0.0,0.0,100,20
B,2025,Has_Item_7_01,0.47547238372093026,0.0,0.0,0.464389534883721,0.0,0.0,100,21
B,2025,Has_Item_5_07,0.47547238372093026,0.0,0.0,0.464389534883721,0.0,0.0,100,22
B,2025,Has_Item_2_03,0.47547238372093026,0.0,0.0,0.464389534883721,0.0,0.0,100,23
B,2025,Has_Item_5_02,0.47547238372093026,0.0,0.0,0.464389534883721,0.0,0.0,100,24
B,2025,Has_Item_8_01,0.47547238372093026,0.0,0.0,0.464389534883721,0.0,0.0,100,25
B,2025,Volatility_14D,0.47547238372093026,-0.0028978924418604527,0.00732699709411699,0.464389534883721,-0.0044022529069767365,0.01115131058772223,100,26
B,2025,RSI_14,0.47547238372093026,-0.029429505813953493,0.024656145159897336,0.464389534883721,-0.03619458575581392,0.025013749560225795,100,27
B,2025,QQQ_Volatility_14D,0.47547238372093026,-0.003006904069767417,0.006283894469855154,0.464389534883721,-0.05183866279069764,0.022259581774255157,100,28
C,2025,Relative_Volume_20D,0.46348110465116277,0.010456031976744164,0.014873311289603468,0.4494004360465117,0.041401707848837274,0.030234301472301762,100,1
C,2025,QQQ_Log_Return_1D,0.46348110465116277,0.007946947674418597,0.004833773254389984,0.4494004360465117,0.014176962209302429,0.00843778103892212,100,2
C,2025,Mean_Net_Sentiment,0.46348110465116277,0.0,0.0,0.4494004360465117,0.004385901162790727,0.0041684548150079295,100,3
C,2025,Stock_vs_QQQ_5D,0.46348110465116277,0.0,0.0,0.4494004360465117,0.0,0.0,100,4
C,2025,Price_to_SMA20,0.46348110465116277,0.0,0.0,0.4494004360465117,0.0,0.0,100,5
C,2025,Daily_Range,0.46348110465116277,0.0,0.0,0.4494004360465117,0.0,0.0,100,6
C,2025,Stock_vs_QQQ_3D,0.46348110465116277,0.0,0.0,0.4494004360465117,0.0,0.0,100,7
C,2025,Has_EX99,0.46348110465116277,0.0,0.0,0.4494004360465117,0.0,0.0,100,8
C,2025,Ticker,0.46348110465116277,0.0,0.0,0.4494004360465117,0.0,0.0,100,9
C,2025,QQQ_Log_Return_3D,0.46348110465116277,0.0,0.0,0.4494004360465117,0.0,0.0,100,10
