Variant,Sequence_Step,Feature,Mean_Abs_IG,Std_Abs_IG_Across_Folds,Mean_IG,N_Folds,Presence_Rate
A,26,QQQ_Log_Return_1D,0.0018715120968408883,0.0005678229017646558,-0.00021425783415907063,4,1.0
A,29,QQQ_Log_Return_1D,0.0018655090825632215,0.0006405004918243455,0.00022649531069873774,4,1.0
A,5,QQQ_Log_Return_1D,0.0018516232375986874,0.0003238569209346246,0.00015080870434758253,4,1.0
A,22,QQQ_Log_Return_1D,0.0018487623892724514,0.00037599106910840666,-0.00011086384984082542,4,1.0
A,1,QQQ_Log_Return_1D,0.0018471186340320855,0.0005507932572458496,0.00018629125474944885,4,1.0
A,20,QQQ_Log_Return_1D,0.0018367018201388419,0.00037927107907096644,4.1728457290446386e-05,4,1.0
A,21,QQQ_Log_Return_1D,0.0018302180687896907,0.000368920375068374,0.00025555073443683796,4,1.0
A,24,RSI_14_Scaled,0.0018247222906211391,0.0012146188575315742,0.0007413500388793182,4,1.0
A,15,QQQ_Log_Return_1D,0.0018194938311353326,0.00037009533549018373,-0.0001600245993813587,4,1.0
A,29,RSI_14_Scaled,0.0018150302930735052,0.0012771562523560239,0.0008539798855053959,4,1.0
A,3,QQQ_Log_Return_1D,0.0018110312084900215,0.0006302675245172948,-8.671418072481174e-06,4,1.0
A,13,QQQ_Log_Return_1D,0.0018000530544668436,0.0004349692351345429,0.00011239022569498047,4,1.0
A,9,QQQ_Log_Return_1D,0.0017967874009627849,0.00033352426555194483,-3.72247204722953e-05,4,1.0
A,25,QQQ_Log_Return_1D,0.001788423309335485,0.00039547171769332946,-5.3544717957265675e-06,4,1.0
A,2,QQQ_Log_Return_1D,0.0017855457263067365,0.0004388049511272548,7.874495349824429e-05,4,1.0
A,17,QQQ_Log_Return_1D,0.0017798398912418634,0.00021835486105686164,-0.00013704841148864944,4,1.0
A,4,QQQ_Log_Return_1D,0.0017731170228216797,0.00020203376379579688,7.95001221831626e-05,4,1.0
A,6,QQQ_Log_Return_1D,0.0017689841624815017,0.00043681660998022044,0.0001118391883210279,4,1.0
A,8,QQQ_Log_Return_1D,0.0017682939942460507,0.0002684539705390396,1.678424723650096e-05,4,1.0
A,10,QQQ_Log_Return_1D,0.0017611740622669458,0.00039566426856957977,0.00025330368771392386,4,1.0
A,14,QQQ_Log_Return_1D,0.0017448863363824785,0.00039613994866056037,-5.900933228986105e-05,4,1.0
A,28,QQQ_Log_Return_1D,0.0017219720466528088,0.0005298352274331305,-0.0001477083806094015,4,1.0
A,6,Log_Return_5D_Z60,0.0017133234941866249,0.0005794915645131173,0.0005383223797252867,4,1.0
A,19,QQQ_Log_Return_1D,0.0016940620262175798,0.0003944568362876485,-3.382209797564428e-05,4,1.0
A,27,QQQ_Log_Return_1D,0.0016901528288144618,0.00044246719176616034,6.974529333092505e-05,4,1.0
A,11,QQQ_Log_Return_1D,0.001687341689830646,0.00038956359237893475,0.00021360217942856252,4,1.0
A,7,QQQ_Log_Return_1D,0.001662851485889405,0.0003901748448247469,-1.6561498341616243e-06,4,1.0
A,5,Log_Return_5D_Z60,0.0016618564550299197,0.000485979643599783,0.0004909946255793329,4,1.0
A,30,Log_Return_5D_Z60,0.0016550182772334665,0.0005472225805731012,-1.65037126862444e-05,4,1.0
A,23,QQQ_Log_Return_1D,0.001653024461120367,0.00037065783593937576,-2.6990793230652343e-05,4,1.0
A,19,QQQ_Log_Return_5D,0.001648681121878326,0.0009204747236300112,0.00029397902108030394,4,1.0
A,19,Log_Return_5D_Z60,0.0016451563424197957,0.0005150293989532006,0.0004590581929733162,4,1.0
A,7,Log_Return_5D_Z60,0.0016432025149697438,0.0005240016815522426,0.0004856660780205857,4,1.0
