Event_Session,Strategy_Return_Gross,Strategy_Return_Net,Num_Positions,Equity,Running_Max,Drawdown,Family,Model,Portfolio_Type,Portfolio_Definition,Cost_Bps_Per_Side,Probability_Margin
2023-04-11,0.0006358933474359119,-0.00036410665256408816,1,0.9249334090556713,1.0,-0.07506659094432866,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-04-12,0.0,0.0,0,0.9249334090556713,1.0,-0.07506659094432866,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-04-13,0.0,0.0,0,0.9249334090556713,1.0,-0.07506659094432866,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-04-14,0.0,0.0,0,0.9249334090556713,1.0,-0.07506659094432866,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-04-17,0.0,0.0,0,0.9249334090556713,1.0,-0.07506659094432866,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-04-18,0.0,0.0,0,0.9249334090556713,1.0,-0.07506659094432866,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-04-19,0.0,0.0,0,0.9249334090556713,1.0,-0.07506659094432866,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-04-20,0.010502947453834566,0.009502947453834565,1,0.9337230026402235,1.0,-0.06627699735977655,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-04-21,0.0,0.0,0,0.9337230026402235,1.0,-0.06627699735977655,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-04-24,-0.0029546640886667364,-0.003954664088666736,1,0.93003044181292,1.0,-0.06996955818707995,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-04-25,0.0,0.0,0,0.93003044181292,1.0,-0.06996955818707995,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-04-26,0.0002631283211503299,-0.0007368716788496701,1,0.9293451287198801,1.0,-0.07065487128011994,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-04-27,0.010136684385923023,0.009136684385923022,1,0.9378362618465886,1.0,-0.06216373815341136,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-04-28,0.0,0.0,0,0.9378362618465886,1.0,-0.06216373815341136,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-05-01,0.0,0.0,0,0.9378362618465886,1.0,-0.06216373815341136,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-05-02,0.0,0.0,0,0.9378362618465886,1.0,-0.06216373815341136,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-05-03,0.0,0.0,0,0.9378362618465886,1.0,-0.06216373815341136,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-05-04,-0.0039764791497008956,-0.004976479149700896,1,0.9331691392436756,1.0,-0.06683086075632438,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-05-05,-0.0006345691624459748,-0.0016345691624459749,1,0.9316438097453217,1.0,-0.06835619025467832,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-05-08,0.0,0.0,0,0.9316438097453217,1.0,-0.06835619025467832,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-05-09,0.0,0.0,0,0.9316438097453217,1.0,-0.06835619025467832,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-05-10,0.0,0.0,0,0.9316438097453217,1.0,-0.06835619025467832,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-05-11,0.0010551992969776713,5.519929697767132e-05,1,0.9316952358286533,1.0,-0.06830476417134668,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-05-12,0.0,0.0,0,0.9316952358286533,1.0,-0.06830476417134668,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-05-15,0.0,0.0,0,0.9316952358286533,1.0,-0.06830476417134668,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-05-16,0.0,0.0,0,0.9316952358286533,1.0,-0.06830476417134668,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-05-17,0.0,0.0,0,0.9316952358286533,1.0,-0.06830476417134668,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-05-18,0.0,0.0,0,0.9316952358286533,1.0,-0.06830476417134668,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-05-19,0.0,0.0,0,0.9316952358286533,1.0,-0.06830476417134668,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-05-22,0.0,0.0,0,0.9316952358286533,1.0,-0.06830476417134668,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-05-23,0.0007689269078454131,-0.00023107309215458696,1,0.9314799461295648,1.0,-0.06852005387043525,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-05-24,-0.01038140663020859,-0.01138140663020859,1,0.9208783940947793,1.0,-0.07912160590522066,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-05-25,0.007902812679712656,0.006902812679712656,1,0.9272350451500102,1.0,-0.0727649548499898,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-05-26,0.0,0.0,0,0.9272350451500102,1.0,-0.0727649548499898,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-05-30,0.0009689732490508751,-3.10267509491249e-05,1,0.927206276059193,1.0,-0.07279372394080696,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-05-31,0.0,0.0,0,0.927206276059193,1.0,-0.07279372394080696,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-06-01,0.0,0.0,0,0.927206276059193,1.0,-0.07279372394080696,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-06-02,-0.006799864126174976,-0.007799864126174977,2,0.9199741930889946,1.0,-0.08002580691100536,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-06-05,0.0,0.0,0,0.9199741930889946,1.0,-0.08002580691100536,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-06-06,0.0,0.0,0,0.9199741930889946,1.0,-0.08002580691100536,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-06-07,-0.004102289885247246,-0.005102289885247246,1,0.9152802180689082,1.0,-0.08471978193109175,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-06-08,0.0,0.0,0,0.9152802180689082,1.0,-0.08471978193109175,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-06-09,-0.0001015106464470894,-0.0011015106464470894,1,0.914272027164223,1.0,-0.08572797283577704,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-06-12,0.0,0.0,0,0.914272027164223,1.0,-0.08572797283577704,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-06-13,0.0,0.0,0,0.914272027164223,1.0,-0.08572797283577704,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-06-14,0.0,0.0,0,0.914272027164223,1.0,-0.08572797283577704,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-06-15,0.0,0.0,0,0.914272027164223,1.0,-0.08572797283577704,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-06-16,0.015813402700800172,0.014813402700800171,1,0.9278155068806836,1.0,-0.0721844931193164,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-06-20,0.0,0.0,0,0.9278155068806836,1.0,-0.0721844931193164,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-06-21,0.0,0.0,0,0.9278155068806836,1.0,-0.0721844931193164,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-06-22,0.0,0.0,0,0.9278155068806836,1.0,-0.0721844931193164,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-06-23,0.0,0.0,0,0.9278155068806836,1.0,-0.0721844931193164,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
