Family,Model,Portfolio_Type,Portfolio_Definition,Cost_Bps_Per_Side,Probability_Margin,Num_Candidate_Events,Num_Trades,Trade_Coverage,Active_Sessions,Mean_Trade_Return_Net,Median_Trade_Return_Net,Win_Rate,Avg_Win,Avg_Loss,Profit_Factor,Mean_Daily_Return_Net,Annualized_Return_Arithmetic,Annualized_Volatility,Sharpe,Sortino,HAC_t,HAC_p_value,HAC_p_value_Positive,Max_Drawdown,Cumulative_Return,CAGR,HAC_p_value_Holm,HAC_p_value_Positive_Holm
Logistic,MODEL A - MARKET,Growth,fixed_ex_ante_growth_companies,5.0,0.0,297,297,1.0,248,-0.0006109062841020681,-0.0004178800026207732,0.4781144781144781,0.008257403169730481,0.008735422041806726,0.8659967129974229,-0.0002530889065352161,-0.06377840444687445,0.09724437877178767,-0.6558569785976947,-0.8547272159169449,-1.2969806396836039,0.19496804103265025,0.9025159794836749,-0.21563372735301234,-0.21858396974691208,-0.06601999566656158,1.0,1.0
Logistic,MODEL A - MARKET,Momentum,positive_relative_momentum_60d,5.0,0.0,251,251,1.0,222,-0.000335472402285682,-0.0002952171924790461,0.47410358565737054,0.008248212421480243,0.008073794326741325,0.9209905739425894,-8.223155701988359e-05,-0.020722352369010665,0.09115696811408436,-0.2273260376878301,-0.3180573862673274,-0.4678571131637048,0.6399992935927051,0.6800003532036474,-0.14350114255446955,-0.0856336399383556,-0.02448570624703783,1.0,1.0
Logistic,MODEL A - MARKET,Value,fixed_ex_ante_mature_semiconductor_proxy,5.0,0.0,95,95,1.0,95,0.00015749363258160383,-3.3358724140230243e-05,0.49473684210526314,0.00943869722852064,0.008930351555108702,1.0349041295736496,1.6496025463343323e-05,0.004156998416762517,0.06356079489639523,0.06540192619583299,0.09654427224966967,0.12357978855665286,0.9016754059270676,0.4508377029635338,-0.1381155978629982,0.0077434262871469706,0.0021382892095413997,1.0,1.0
Logistic,MODEL B - MARKET + SEC,Dividend,fixed_ex_ante_dividend_payers,5.0,0.0,231,231,1.0,213,-0.00013747615648086677,-0.0006258734978650251,0.4458874458874459,0.008618107960265818,0.007182985250425466,0.9654598342472762,2.3783636513161998e-05,0.005993476401316824,0.07887666377541115,0.07598541969754581,0.1186738761844119,0.14672385392172146,0.8833826309449161,0.44169131547245805,-0.14424387671487304,0.010488505680479987,0.002893469712371699,1.0,1.0
Logistic,MODEL B - MARKET + SEC,Growth,fixed_ex_ante_growth_companies,5.0,0.0,297,297,1.0,248,0.00044220755805304194,3.343688735652026e-05,0.5050505050505051,0.008802680610916425,0.008088887393848368,1.1104527380152984,6.22547148257839e-05,0.01568818813609754,0.09692791151035807,0.16185418515306654,0.23631922586283166,0.2976587855317321,0.7660318420877489,0.38301592104387444,-0.13931807786974226,0.040380681301052546,0.011022424758054816,1.0,1.0
Logistic,MODEL B - MARKET + SEC,Momentum,positive_relative_momentum_60d,5.0,0.0,251,251,1.0,222,-0.00011224639475120351,-0.00017252448531612698,0.47808764940239046,0.00840416582310278,0.007913540029426609,0.9728228430115464,7.88177259884693e-06,0.0019862066949094264,0.09083456492156332,0.021866199245018002,0.03211791660546687,0.040730731742687626,0.9675195352734483,0.4837597676367241,-0.17776436230605097,-0.007621753817016352,-0.0021164143114662526,1.0,1.0
Logistic,MODEL B - MARKET + SEC,Value,fixed_ex_ante_mature_semiconductor_proxy,5.0,0.0,95,95,1.0,95,0.00030149284076924225,0.0006075575053661195,0.5052631578947369,0.00936372358602881,0.008953551324602231,1.068062425817224,3.1578632715631774e-05,0.007957815444339208,0.0634994621931675,0.1253209896507669,0.18600564327332847,0.23480582199018593,0.8144125046615809,0.40720625233079044,-0.1381155978629982,0.021638599448688067,0.005945735015047582,1.0,1.0
Logistic,MODEL C - MARKET + SEC + FINBERT,Dividend,fixed_ex_ante_dividend_payers,5.0,0.0,231,231,1.0,213,-3.2411503950640646e-06,-0.0005677507441419474,0.45454545454545453,0.008582564410574187,0.007158079117869439,0.9991698737943837,4.6129226095324644e-05,0.01162456497602181,0.07870233961133451,0.14770291497595672,0.231621068732073,0.28525838985474145,0.7755113867344574,0.3877556933672287,-0.1442438767148727,0.03122800903105616,0.008551565577673559,1.0,1.0
Logistic,MODEL C - MARKET + SEC + FINBERT,Growth,fixed_ex_ante_growth_companies,5.0,0.0,297,297,1.0,248,0.0006254833501522738,0.00023383111751379502,0.5151515151515151,0.00878835651479869,0.008047569387284546,1.1603042294642907,0.00010247854227966056,0.02582459265447446,0.09689565865005847,0.2665196048436055,0.3909785884640001,0.49292920347694746,0.6221820557516283,0.31109102787581416,-0.1297034647947316,0.0790477090904198,0.021290820915312425,1.0,1.0
Logistic,MODEL C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0,251,251,1.0,222,0.00019061283163779923,-3.3358724140230243e-05,0.49800796812749004,0.008332069853473229,0.007886229451929095,1.0481488479810364,5.76330034510461e-05,0.014523516869663617,0.09067514478706859,0.16017087046035636,0.23636045174944595,0.29979890833891165,0.7643993148967121,0.38219965744835604,-0.17388318210118536,0.038237417857035494,0.010445242168248381,1.0,1.0
Logistic,MODEL C - MARKET + SEC + FINBERT,Value,fixed_ex_ante_mature_semiconductor_proxy,5.0,0.0,95,95,1.0,95,0.00030149284076924225,0.0006075575053661195,0.5052631578947369,0.00936372358602881,0.008953551324602231,1.068062425817224,3.1578632715631774e-05,0.007957815444339208,0.0634994621931675,0.1253209896507669,0.18600564327332847,0.23480582199018593,0.8144125046615809,0.40720625233079044,-0.1381155978629982,0.021638599448688067,0.005945735015047582,1.0,1.0
TabNet,TABNET A - MARKET,Dividend,fixed_ex_ante_dividend_payers,5.0,0.0,231,231,1.0,213,-0.0007885605747020189,-0.00126312832115033,0.4329004329004329,0.00818485458609751,0.007638495811953566,0.8179595503995566,-0.00013970480501641352,-0.035205610864136205,0.07906856434338116,-0.4452542063524045,-0.6454260615757829,-0.7865085233594297,0.43177529614514887,0.7841123519274256,-0.20373120645140597,-0.12884422809490792,-0.0374757638672667,1.0,1.0
TabNet,TABNET A - MARKET,Growth,fixed_ex_ante_growth_companies,5.0,0.0,297,297,1.0,248,-0.0005262434509644903,-0.00034521869966252974,0.49158249158249157,0.008102131120276218,0.008868910254945574,0.8832932578702621,-7.578054039618529e-05,-0.019096696179838692,0.09671669593786063,-0.1974498404299099,-0.2772317238607548,-0.3588532006384588,0.719788519069341,0.6401057404653294,-0.191748186567264,-0.08199853991281636,-0.02341331825317383,1.0,1.0
TabNet,TABNET A - MARKET,Momentum,positive_relative_momentum_60d,5.0,0.0,251,251,1.0,222,-0.00021957520353086714,-0.0005677507441419474,0.4701195219123506,0.008475407700259292,0.007933920937720634,0.9477703030297884,-6.274169881267549e-06,-0.0015810908100794224,0.09073230918691326,-0.017425885268965144,-0.025735201947210167,-0.031308781305040785,0.9750301829511211,0.5124849085244394,-0.17505991769585316,-0.020244034334583327,-0.005647376722501041,1.0,1.0
