Family,Model,Ticker,Event_Session,Test_Year,Filing_Count,Accessions,y_prob,Acceptance_DateTime_ET,Lead_Minutes,Feature_Cutoff_Session,Momentum_Score_60D,Publication_Period,Stock_Return_Open_Close,QQQ_Return_Open_Close,Market_Neutral_Return,Active,Signal,Strategy_Return_Gross,Transaction_Cost,Strategy_Return_Net,Win,Cost_Bps_Per_Side,Probability_Margin
Tree,TREE B - MARKET + SEC,MSFT,2025-01-23,2025,1,0001193125-25-010492,0.4974093264248704,2025-01-22 22:15:39+00:00,974.35,2025-01-22,-0.037137118029944016,AFTER_HOURS,0.010656089264882596,0.00680484797106895,0.0019256206469068227,True,-1,-0.0019256206469068227,0.001,-0.0029256206469068227,False,5.0,0.0
Tree,TREE B - MARKET + SEC,MSFT,2025-01-30,2025,1,0000950170-25-010484,0.4974093264248704,2025-01-29 21:08:56+00:00,1041.0666666666666,2025-01-29,-0.02624437645109068,AFTER_HOURS,-0.009026431880182928,-0.0012603046571485477,-0.00388306361151719,True,-1,0.00388306361151719,0.001,0.00288306361151719,True,5.0,0.0
Tree,TREE B - MARKET + SEC,MSFT,2025-05-01,2025,1,0000950170-25-061032,0.4974093264248704,2025-04-30 20:06:03+00:00,1043.95,2025-04-30,0.04474963581196312,AFTER_HOURS,-0.013244860126405356,-0.0035787653818130094,-0.004833047372296173,True,-1,0.004833047372296173,0.001,0.003833047372296173,True,5.0,0.0
Tree,TREE B - MARKET + SEC,MSFT,2025-07-02,2025,1,0001193125-25-154103,0.6818181818181818,2025-07-01 21:00:47+00:00,989.2166666666667,2025-07-01,0.10608471841256706,AFTER_HOURS,0.0022449562755137986,0.008495706160454253,-0.003125374942470227,True,1,-0.003125374942470227,0.001,-0.004125374942470227,False,5.0,0.0
Tree,TREE B - MARKET + SEC,MSFT,2025-07-31,2025,1,0000950170-25-100226,0.543859649122807,2025-07-30 20:08:53+00:00,1041.1166666666666,2025-07-30,0.017963564088989026,AFTER_HOURS,-0.039136900443316414,-0.016587128182862787,-0.011274886130226813,True,1,-0.011274886130226813,0.001,-0.012274886130226814,False,5.0,0.0
Tree,TREE B - MARKET + SEC,MSFT,2025-10-01,2025,1,0001193125-25-225125,0.4974093264248704,2025-09-30 20:37:10+00:00,1012.8333333333334,2025-09-30,-0.0464722762543619,AFTER_HOURS,0.009537751157954855,0.010181384302362817,-0.0003218165722039812,True,-1,0.0003218165722039812,0.001,-0.0006781834277960188,False,5.0,0.0
Tree,TREE B - MARKET + SEC,MSFT,2025-10-30,2025,1,0001193125-25-256310,0.1333333333333333,2025-10-29 20:07:42+00:00,1042.3,2025-10-29,-0.10823662275718027,AFTER_HOURS,-0.008897547272103012,-0.009680932791231944,0.0003916927595644659,True,-1,-0.0003916927595644659,0.001,-0.001391692759564466,False,5.0,0.0
Tree,TREE B - MARKET + SEC,MSFT,2025-12-09,2025,1,0001193125-25-311196,0.4974093264248704,2025-12-08 21:00:35+00:00,1049.4166666666667,2025-12-08,-0.10058407654428769,AFTER_HOURS,0.005970114237819679,0.0032743904517862354,0.0013478618930167219,True,-1,-0.0013478618930167219,0.001,-0.002347861893016722,False,5.0,0.0
Tree,TREE B - MARKET + SEC,MSFT,2026-01-29,2026,1,0001193125-26-027198,0.1645569620253164,2026-01-28 21:04:38+00:00,1045.3666666666666,2026-01-28,-0.0949769710593319,AFTER_HOURS,-0.01475031336716981,-0.005089752017734539,-0.004830280674717635,True,-1,0.004830280674717635,0.001,0.003830280674717635,True,5.0,0.0
Tree,TREE B - MARKET + SEC,MSFT,2026-04-30,2026,1,0001193125-26-191457,0.6226415094339622,2026-04-29 20:03:31+00:00,1046.4833333333333,2026-04-29,-0.053054124809289505,AFTER_HOURS,-0.007375669524363748,0.003592116534358869,-0.005483893029361309,True,1,-0.005483893029361309,0.001,-0.006483893029361309,False,5.0,0.0
