Family,Model,Cost_Bps_Per_Side,Probability_Margin,Num_Candidate_Events,Num_Trades,Trade_Coverage,Active_Sessions,Mean_Trade_Return_Net,Median_Trade_Return_Net,Win_Rate,Avg_Win,Avg_Loss,Profit_Factor,Mean_Daily_Return_Net,Annualized_Return_Arithmetic,Annualized_Volatility,Sharpe,Sortino,HAC_t,HAC_p_value,HAC_p_value_Positive,Max_Drawdown,Cumulative_Return,CAGR,HAC_p_value_Holm,HAC_p_value_Positive_Holm,HAC_p_value_Positive_Global_Holm
XGBoost,XGB C - MARKET + SEC + FINBERT,0.0,0.0,494,494,1.0,370,0.0009070598240550109,0.0008221046292262446,0.5404858299595142,0.008367545899792354,0.00786804934872856,1.2508822569419904,0.0004734646081445449,0.11931308125242532,0.11228589337076494,1.0625829983687871,1.6641514927230139,2.0118154964596333,0.044535031810372674,0.022267515905186337,-0.12073593203985433,0.5018999474908814,0.11921732590958256,0.7125605089659628,0.3562802544829814,1.0
CatBoost,CAT A - MARKET,0.0,0.05,494,362,0.7327935222672065,288,0.0011243061089176135,0.001242227597873985,0.56353591160221,0.008777669057879498,0.008757251116324314,1.2941495921797121,0.0004467951030707988,0.1125923659738413,0.10479973029029904,1.0743574020844937,1.6684245517033265,2.138027416313241,0.03278151399093842,0.01639075699546921,-0.08193071207525626,0.47027989149970595,0.11264203558728614,0.62284876582783,0.311424382913915,1.0
CatBoost,CAT B - MARKET + SEC,0.0,0.05,494,374,0.757085020242915,293,0.000979239093602262,0.0011518481382972456,0.56951871657754,0.008330110667229424,0.008745827025544231,1.2600959475991143,0.00037094542579412123,0.09347824730011856,0.10538179679447869,0.8870435895340152,1.3585707576716843,1.635800062739249,0.10222876547093196,0.05111438273546598,-0.09832110843204334,0.37226769386193004,0.09158807840490235,1.0,0.5114583618145048,1.0
CatBoost,CAT C - MARKET + SEC + FINBERT,0.0,0.05,494,394,0.7975708502024291,315,0.0008099432427838545,0.0009179216807247148,0.5532994923857868,0.0082885953748528,0.008453387238983362,1.2144901616970702,0.00035654322387034714,0.08984889241532748,0.10635333693164506,0.8448149819039037,1.292753551836311,1.566797394276111,0.11751124030484623,0.05875562015242312,-0.117370152411434,0.35395708668064874,0.08753509968351292,1.0,0.5288005813718081,1.0
LSTM,LSTM A - MARKET SEQUENCE,0.0,0.05,494,264,0.5344129554655871,210,0.0005105158306539496,0.00021378823656473256,0.5075757575757576,0.009137276403030319,0.00838168352856477,1.1236911220973005,0.00024755649563219513,0.062384236899313175,0.09384292323474702,0.6647729498287229,1.0687953761673104,1.227911458541478,0.21979911884871986,0.10989955942435993,-0.11586388740012332,0.23213242581243487,0.0595082176399806,1.0,0.5288005813718081,1.0
LSTM,LSTM B - MARKET SEQUENCE + SEC,0.0,0.05,494,266,0.5384615384615384,197,0.00180358877071146,0.0008926113805878544,0.556390977443609,0.009952837192348702,0.008417502469986095,1.4830075279332977,0.0004068353026677935,0.10252249627228395,0.09306607633885028,1.101609741223034,1.9056350312294883,1.9506642625289103,0.05140499273516545,0.025702496367582726,-0.08973592072140302,0.42398377737622117,0.10282790254345908,0.7710748910274818,0.3855374455137409,1.0
LSTM,LSTM C - MARKET SEQUENCE + SEC + FINBERT,0.0,0.05,494,283,0.5728744939271255,220,0.0018247238659687955,0.0021284214671918322,0.568904593639576,0.010314111364249829,0.009378484226025028,1.4513267812704556,0.00047058110739274674,0.11858643906297218,0.10648326849117579,1.1136626508867857,1.8116917942054507,2.0693723234872103,0.03879419361416784,0.01939709680708392,-0.09380793957354816,0.5014446414670761,0.11912336010141655,0.6982954850550211,0.3491477425275106,1.0
Logistic,MODEL A - MARKET,0.0,0.05,494,356,0.7206477732793523,280,0.0010296209542362733,0.0006352312549409433,0.5365168539325843,0.008937619568206911,0.00812448653223883,1.2734308440954527,0.00036283458841309497,0.09143431628009993,0.10377342574886306,0.8810956718473921,1.3804284440140304,1.6815929328650647,0.09299242942081905,0.046496214710409524,-0.1311056915181198,0.3630523617429233,0.08955322283342393,1.0,0.5114583618145048,1.0
Logistic,MODEL B - MARKET + SEC,0.0,0.05,494,391,0.791497975708502,302,0.0015145047469114136,0.0010334368873565203,0.5703324808184144,0.008991594361743339,0.008410441587061918,1.4191015969571121,0.0006506702591074302,0.1639689052950724,0.11085554204608601,1.4791223088053238,2.4754544623577073,2.794155720905879,0.005313360314027111,0.0026566801570135556,-0.07957523750262863,0.7647055170871995,0.17032660726261417,0.11158056659456933,0.055790283297284665,0.502112549675562
Logistic,MODEL C - MARKET + SEC + FINBERT,0.0,0.05,494,387,0.7834008097165992,299,0.001296769630991786,0.0010276309866117939,0.5658914728682171,0.008780435257485574,0.008458723060687616,1.3531504046130765,0.0005462797198917695,0.1376624894127259,0.10636720993819357,1.294219238172337,2.070600507476364,2.5202559157098894,0.011897779949771134,0.005948889974885567,-0.07957523750262852,0.6081043510199384,0.14059474339342515,0.23795559899542268,0.11897779949771134,1.0
TabNet,TABNET A - MARKET,0.0,0.05,494,244,0.4939271255060729,204,0.00041453313310110113,0.00023218254047030484,0.5122950819672131,0.009177650995685929,0.008790422604908173,1.096692404295558,0.000270224723193924,0.06809663024486885,0.09499543422678058,0.7168410860916032,1.193630587812203,1.2672688761936615,0.20538479980198224,0.10269239990099112,-0.10850621871669053,0.25727746765537707,0.0654520401225751,1.0,0.5288005813718081,1.0
TabNet,TABNET B - MARKET + SEC,0.0,0.05,494,321,0.6497975708502024,263,0.001420126462671475,0.0007689269078454131,0.5420560747663551,0.00921789042330185,0.007809879858074683,1.3970730070200685,0.0004355541374424401,0.1097596426354949,0.10001693715802237,1.0974105561948921,1.7986836496451646,2.0395911650801666,0.04168072707951489,0.020840363539757444,-0.1517889587795883,0.4579959506096154,0.11006004431179783,0.6982954850550211,0.3491477425275106,1.0
TabNet,TABNET C - MARKET + SEC + FINBERT,0.0,0.05,494,293,0.5931174089068826,240,0.0009217799312780341,0.0007909263075999151,0.5358361774744027,0.008870545666236076,0.00825436874804853,1.240586965403584,0.0002636413627421214,0.06643762341101458,0.09824713702481949,0.6762296126169145,1.0089650238478745,1.363220889369982,0.173151575276324,0.086575787638162,-0.11594439702587367,0.24826820786579784,0.06333238294016685,1.0,0.5288005813718081,1.0
Transformer,TRANSFORMER A - MARKET SEQUENCE,0.0,0.05,494,283,0.5728744939271255,230,0.0009645182331844643,0.00044887945505656113,0.5229681978798587,0.00887917260739211,0.007712288043724659,1.2621681125590263,0.0003039538335544568,0.0765963660557231,0.09197209514152385,0.8328218025028022,1.357250133191345,1.5630930416403588,0.11837991861831199,0.05918995930915599,-0.1202169297171537,0.29758947410833536,0.07480417160306274,1.0,0.5288005813718081,1.0
