Ticker,Filing_Date,Acceptance_DateTime_ET,Accession,Source_Type,Cleaned_File
NVDA,2024-05-22,2024-05-22T16:21:29-04:00,0001045810-24-000113,8-K,NVDA_2024-05-22_0001045810-24-000113_8-K.txt
NVDA,2024-05-22,2024-05-22T16:21:29-04:00,0001045810-24-000113,EX-99.1,NVDA_2024-05-22_0001045810-24-000113_EX-99-1.txt
NVDA,2024-05-22,2024-05-22T16:21:29-04:00,0001045810-24-000113,EX-99.2,NVDA_2024-05-22_0001045810-24-000113_EX-99-2.txt
NVDA,2024-06-07,2024-06-07T16:19:34-04:00,0001045810-24-000144,8-K,NVDA_2024-06-07_0001045810-24-000144_8-K.txt
NVDA,2024-07-02,2024-07-02T16:47:41-04:00,0001045810-24-000206,8-K,NVDA_2024-07-02_0001045810-24-000206_8-K.txt
NVDA,2024-08-28,2024-08-28T16:21:16-04:00,0001045810-24-000262,8-K,NVDA_2024-08-28_0001045810-24-000262_8-K.txt
NVDA,2024-08-28,2024-08-28T16:21:16-04:00,0001045810-24-000262,EX-99.1,NVDA_2024-08-28_0001045810-24-000262_EX-99-1.txt
NVDA,2024-08-28,2024-08-28T16:21:16-04:00,0001045810-24-000262,EX-99.2,NVDA_2024-08-28_0001045810-24-000262_EX-99-2.txt
NVDA,2024-11-07,2024-11-07T16:35:26-05:00,0001045810-24-000300,8-K,NVDA_2024-11-07_0001045810-24-000300_8-K.txt
NVDA,2024-11-20,2024-11-20T16:21:20-05:00,0001045810-24-000315,8-K,NVDA_2024-11-20_0001045810-24-000315_8-K.txt
NVDA,2024-11-20,2024-11-20T16:21:20-05:00,0001045810-24-000315,EX-99.1,NVDA_2024-11-20_0001045810-24-000315_EX-99-1.txt
NVDA,2024-11-20,2024-11-20T16:21:20-05:00,0001045810-24-000315,EX-99.2,NVDA_2024-11-20_0001045810-24-000315_EX-99-2.txt
NVDA,2025-01-17,2025-01-17T16:59:50-05:00,0001045810-25-000007,8-K,NVDA_2025-01-17_0001045810-25-000007_8-K.txt
NVDA,2025-02-26,2025-02-26T16:21:32-05:00,0001045810-25-000021,8-K,NVDA_2025-02-26_0001045810-25-000021_8-K.txt
NVDA,2025-02-26,2025-02-26T16:21:32-05:00,0001045810-25-000021,EX-99.1,NVDA_2025-02-26_0001045810-25-000021_EX-99-1.txt
NVDA,2025-02-26,2025-02-26T16:21:32-05:00,0001045810-25-000021,EX-99.2,NVDA_2025-02-26_0001045810-25-000021_EX-99-2.txt
NVDA,2025-03-07,2025-03-07T17:09:13-05:00,0001045810-25-000039,8-K,NVDA_2025-03-07_0001045810-25-000039_8-K.txt
NVDA,2025-04-15,2025-04-15T17:22:59-04:00,0001045810-25-000082,8-K,NVDA_2025-04-15_0001045810-25-000082_8-K.txt
NVDA,2025-05-28,2025-05-28T16:21:30-04:00,0001045810-25-000115,8-K,NVDA_2025-05-28_0001045810-25-000115_8-K.txt
NVDA,2025-05-28,2025-05-28T16:21:30-04:00,0001045810-25-000115,EX-99.1,NVDA_2025-05-28_0001045810-25-000115_EX-99-1.txt
NVDA,2025-05-28,2025-05-28T16:21:30-04:00,0001045810-25-000115,EX-99.2,NVDA_2025-05-28_0001045810-25-000115_EX-99-2.txt
NVDA,2025-06-30,2025-06-30T18:35:29-04:00,0001045810-25-000179,8-K,NVDA_2025-06-30_0001045810-25-000179_8-K.txt
NVDA,2025-08-05,2025-08-05T16:31:08-04:00,0001045810-25-000197,8-K,NVDA_2025-08-05_0001045810-25-000197_8-K.txt
NVDA,2025-08-27,2025-08-27T16:22:14-04:00,0001045810-25-000207,8-K,NVDA_2025-08-27_0001045810-25-000207_8-K.txt
NVDA,2025-08-27,2025-08-27T16:22:14-04:00,0001045810-25-000207,EX-99.1,NVDA_2025-08-27_0001045810-25-000207_EX-99-1.txt
NVDA,2025-08-27,2025-08-27T16:22:14-04:00,0001045810-25-000207,EX-99.2,NVDA_2025-08-27_0001045810-25-000207_EX-99-2.txt
NVDA,2025-11-19,2025-11-19T16:20:44-05:00,0001045810-25-000228,8-K,NVDA_2025-11-19_0001045810-25-000228_8-K.txt
NVDA,2025-11-19,2025-11-19T16:20:44-05:00,0001045810-25-000228,EX-99.1,NVDA_2025-11-19_0001045810-25-000228_EX-99-1.txt
NVDA,2025-11-19,2025-11-19T16:20:44-05:00,0001045810-25-000228,EX-99.2,NVDA_2025-11-19_0001045810-25-000228_EX-99-2.txt
NVDA,2026-01-23,2026-01-23T17:01:33-05:00,0001045810-26-000003,8-K,NVDA_2026-01-23_0001045810-26-000003_8-K.txt
NVDA,2026-02-25,2026-02-25T16:31:25-05:00,0001045810-26-000019,8-K,NVDA_2026-02-25_0001045810-26-000019_8-K.txt
NVDA,2026-02-25,2026-02-25T16:31:25-05:00,0001045810-26-000019,EX-99.1,NVDA_2026-02-25_0001045810-26-000019_EX-99-1.txt
NVDA,2026-02-25,2026-02-25T16:31:25-05:00,0001045810-26-000019,EX-99.2,NVDA_2026-02-25_0001045810-26-000019_EX-99-2.txt
NVDA,2026-03-06,2026-03-06T16:11:25-05:00,0001045810-26-000024,8-K,NVDA_2026-03-06_0001045810-26-000024_8-K.txt
NVDA,2026-04-27,2026-04-27T16:10:30-04:00,0001045810-26-000026,8-K,NVDA_2026-04-27_0001045810-26-000026_8-K.txt
NVDA,2026-05-08,2026-05-08T16:35:07-04:00,0001045810-26-000028,8-K,NVDA_2026-05-08_0001045810-26-000028_8-K.txt
NVDA,2026-05-20,2026-05-20T16:21:19-04:00,0001045810-26-000051,8-K,NVDA_2026-05-20_0001045810-26-000051_8-K.txt
NVDA,2026-05-20,2026-05-20T16:21:19-04:00,0001045810-26-000051,EX-99.1,NVDA_2026-05-20_0001045810-26-000051_EX-99-1.txt
NVDA,2026-05-20,2026-05-20T16:21:19-04:00,0001045810-26-000051,EX-99.2,NVDA_2026-05-20_0001045810-26-000051_EX-99-2.txt
NVDA,2026-06-18,2026-06-18T16:00:24-04:00,0001193125-26-275783,8-K,NVDA_2026-06-18_0001193125-26-275783_8-K.txt
NVDA,2026-06-30,2026-06-30T16:27:26-04:00,0001045810-26-000056,8-K,NVDA_2026-06-30_0001045810-26-000056_8-K.txt
NVDA,2026-07-02,2026-07-02T09:23:16-04:00,0001045810-26-000060,8-K,NVDA_2026-07-02_0001045810-26-000060_8-K.txt
