Family,Model,Test_Year,Cost_Bps_Per_Side,Probability_Margin,Num_Candidate_Events,Num_Trades,Trade_Coverage,Active_Sessions,Mean_Trade_Return_Net,Median_Trade_Return_Net,Win_Rate,Avg_Win,Avg_Loss,Profit_Factor,Mean_Daily_Return_Net,Annualized_Return_Arithmetic,Annualized_Volatility,Sharpe,Sortino,HAC_t,HAC_p_value,HAC_p_value_Positive,Max_Drawdown,Cumulative_Return,CAGR,HAC_p_value_Holm,HAC_p_value_Positive_Holm
LSTM,LSTM B - MARKET SEQUENCE + SEC,2025,5.0,0.0,150,150,1.0,112,0.0013670174173778763,0.00021357629160714906,0.52,0.009429438480182553,0.007367272067327189,1.386568179760979,0.0006342509360968199,0.1598312358963986,0.13566342400875,1.1781453775344035,1.944475825608423,1.033403247511334,0.30241786190374986,0.15120893095187493,-0.11981085805728287,0.16121669397995708,0.1622930093391064,1.0,1.0
LSTM,LSTM C - MARKET SEQUENCE + SEC + FINBERT,2025,5.0,0.0,150,150,1.0,112,0.0015097191833167993,4.058601594278486e-05,0.5066666666666667,0.009844721498679715,0.007050553464893762,1.434042746153466,0.0006565643034158962,0.16545420446080586,0.13632833340070763,1.2136450313266065,2.016250218517938,1.2068005815957024,0.2286541845210399,0.11432709226051994,-0.11471996745699597,0.16760724740560873,0.1687292432350196,1.0,1.0
Logistic,MODEL A - MARKET,2025,5.0,0.0,150,150,1.0,112,0.00041522302174881146,-0.00018045753215722906,0.48,0.009323909251103678,0.007808179651501834,1.102265296995545,0.00019915739533709026,0.05018766362494675,0.1367007146583451,0.3671353419795964,0.5378898373491592,0.4472791059917692,0.6550623820021323,0.32753119100106615,-0.15392846970234275,0.04139193484905257,0.041653767347688,1.0,1.0
Logistic,MODEL B - MARKET + SEC,2025,5.0,0.0,150,150,1.0,112,0.001056022781755757,-2.863868764218201e-06,0.5,0.009553724376162809,0.007441678812651296,1.2838130503456975,0.0006510930849364633,0.16407545740398874,0.13571005093972882,1.209014780171717,1.963589642364638,1.2935072331781596,0.1970343333501415,0.09851716667507075,-0.11175746040188661,0.16609623224090475,0.16720740739129014,1.0,1.0
Logistic,MODEL C - MARKET + SEC + FINBERT,2025,5.0,0.0,150,150,1.0,112,0.0012616783289225223,4.058601594278486e-05,0.5066666666666667,0.009617809134864713,0.007320293850153241,1.3493652200979216,0.0007069662788616224,0.17815550227312885,0.135776076614062,1.312127340220094,2.1338539359256057,1.4073001981385092,0.1605854301595328,0.0802927150797664,-0.11128056235346262,0.1824773310942276,0.18370646327513707,1.0,1.0
TabNet,TABNET A - MARKET,2025,5.0,0.0,150,150,1.0,112,-0.0004577610622212049,4.058601594278486e-05,0.5066666666666667,0.007923403359853925,0.009065443441649718,0.8976449358472721,-0.0003202725275035839,-0.08070867693090315,0.1383367885715991,-0.5834216462899217,-0.7375738779077168,-0.7519868998258761,0.45276916253308547,0.7736154187334573,-0.19477115927425648,-0.08571766350624188,-0.08622537904234218,1.0,1.0
TabNet,TABNET B - MARKET + SEC,2025,5.0,0.0,150,150,1.0,112,-0.0006671897680759312,-0.0005955194803196331,0.4666666666666667,0.008501357795661366,0.008689668886346067,0.8560381492661917,-0.0004519459285975623,-0.1138903740065857,0.13761654127005118,-0.8275921844532734,-1.020088293427023,-0.8719332133640444,0.3840847731883092,0.8079576134058454,-0.18559143916501664,-0.11526730973207422,-0.1159386641948551,1.0,1.0
TabNet,TABNET C - MARKET + SEC + FINBERT,2025,5.0,0.0,150,150,1.0,112,0.0004190098020962868,-0.00033970847825945307,0.4866666666666667,0.009207898061442982,0.007913312833388243,1.1031493229716076,5.103936668500578e-06,0.0012861920404621456,0.13797327296601233,0.009322037615060272,0.01333150861362868,0.009785645391071969,0.9922001448262969,0.49610007241314846,-0.1292780205293509,-0.00809690445001121,-0.008146886882926974,1.0,1.0
Transformer,TRANSFORMER A - MARKET SEQUENCE,2025,5.0,0.0,150,150,1.0,112,0.001586462767190733,-0.00033970847825945307,0.4866666666666667,0.01041270169352035,0.006781270240887996,1.4557423276694388,0.0006100585507117474,0.15373475477936033,0.13657716388760752,1.1256256200038846,1.8199331718880585,1.1474081255886193,0.25231424063958036,0.12615712031979018,-0.08766536525929447,0.15406855972161537,0.15509403951468315,1.0,1.0
Transformer,TRANSFORMER B - MARKET SEQUENCE + SEC,2025,5.0,0.0,150,150,1.0,112,0.0016881525788062179,-6.210519265128969e-05,0.5,0.010210052793308626,0.0068337476356961895,1.4940634828210881,0.0006710724376810384,0.16911025429562168,0.1363916055375833,1.2398875548761144,2.0086278800854283,1.2621536910212858,0.20807438705713707,0.10403719352856854,-0.08172329420878865,0.17182503966765794,0.17297730448883097,1.0,1.0
Transformer,TRANSFORMER C - MARKET SEQUENCE + SEC + FINBERT,2025,5.0,0.0,150,150,1.0,112,0.0009263515347828429,-0.0005557374317950439,0.46,0.010337405326189313,0.007090472065304148,1.241939576004779,0.0005192795240354526,0.13085844005693406,0.1357816558025229,0.9637416724925713,1.6194672363803002,0.879193564440046,0.380143993765611,0.1900719968828055,-0.11931694480071509,0.12832254443931856,0.12916722843300077,1.0,1.0
Tree,TREE A - MARKET,2025,5.0,0.0,150,150,1.0,112,0.0002943186501655131,-0.0006058374504243616,0.46,0.009683363375294834,0.007703756486055759,1.070749190778562,4.99973485833527e-06,0.001259933184300488,0.1375964835795496,0.009156725168576524,0.013313820840423455,0.010748625083335296,0.9914326098884215,0.49571630494421076,-0.1420234951434849,-0.008064265855522001,-0.008114047634618538,1.0,1.0
Tree,TREE B - MARKET + SEC,2025,5.0,0.0,150,150,1.0,112,0.0002943186501655131,-0.0006058374504243616,0.46,0.009683363375294834,0.007703756486055759,1.070749190778562,4.99973485833527e-06,0.001259933184300488,0.1375964835795496,0.009156725168576524,0.013313820840423455,0.010748625083335296,0.9914326098884215,0.49571630494421076,-0.1420234951434849,-0.008064265855522001,-0.008114047634618538,1.0,1.0
Tree,TREE C - MARKET + SEC + FINBERT,2025,5.0,0.0,150,150,1.0,112,0.0001828264128678223,-0.000631741042664862,0.44,0.010018819317205104,0.007545453726254329,1.0432678734915568,-1.7226241018999417e-05,-0.004341012736787853,0.13772852092438234,-0.03151861871203291,-0.0460365760583025,-0.038606414248077314,0.9692351228385436,0.5153824385807282,-0.13126604033399225,-0.01357681942572464,-0.013660395850578988,1.0,1.0
XGBoost,XGB A - MARKET,2025,5.0,0.0,150,150,1.0,112,-0.00039184132286569233,-0.0006170903691502796,0.44666666666666666,0.009204964606437091,0.008138660567001674,0.9129897403627353,-5.288525196896639e-05,-0.01332708349617953,0.13794052580526459,-0.09661470708755915,-0.13970744606591176,-0.11139586848292829,0.9113921770027377,0.5443039114986312,-0.1454127029486708,-0.02236520165324718,-0.022502257426806005,1.0,1.0
XGBoost,XGB B - MARKET + SEC,2025,5.0,0.0,150,150,1.0,112,5.152762574544852e-05,-0.0006863101978892274,0.44,0.00987448870012611,0.007666513218410786,1.0120020164031833,0.0002692167041890783,0.06784260945564774,0.13620346185848958,0.4980975412073867,0.7656366704358376,0.5190828630056189,0.6041640068596293,0.30208200342981467,-0.11512343733581076,0.05987490903802328,0.060256998576492915,1.0,1.0
XGBoost,XGB C - MARKET + SEC + FINBERT,2025,5.0,0.0,150,150,1.0,112,0.0007874554624639555,-0.00039640319800635006,0.4666666666666667,0.010037778945153054,0.0073065775848890025,1.2020753184327335,0.0004803577238802427,0.12105014641782116,0.1355061969943154,0.8933181588949716,1.4240570125695693,0.9787442298333315,0.32865633156018426,0.16432816578009213,-0.09835342949688941,0.11741706135334007,0.118186264713114,1.0,1.0
CatBoost,CAT A - MARKET,2026,5.0,0.0,104,104,1.0,76,-0.0013964778008040914,-0.0012670346154513004,0.4423076923076923,0.009158558117299567,0.009767713184127683,0.7436422310053595,-6.77633583706627e-05,-0.017076366309407003,0.12624311650895442,-0.13526572205777077,-0.20006249993159536,-0.13202944530336322,0.8951333433562918,0.5524333283218541,-0.07348343574999938,-0.01524482732671184,-0.02473820983802344,1.0,1.0
CatBoost,CAT B - MARKET + SEC,2026,5.0,0.0,104,104,1.0,76,-0.0009353948307328636,-0.0018094792404002571,0.4230769230769231,0.010143754033341968,0.009060103997721074,0.8210449857590167,-0.0002129202917569633,-0.053655913522754756,0.12715057424017973,-0.4219871899390874,-0.6237286303476786,-0.33734873190080167,0.7363133807411981,0.6318433096294009,-0.11944696036149727,-0.03722241640897328,-0.05997853574073997,1.0,1.0
CatBoost,CAT C - MARKET + SEC + FINBERT,2026,5.0,0.0,104,104,1.0,76,-0.00092967795347207,-0.00221170100589707,0.41346153846153844,0.010411753657435551,0.008924457613620066,0.8223954019188849,-0.0005954341313332906,-0.15004940109598924,0.12431786545059627,-1.2069818006617776,-1.6468218892626663,-0.9867067202977757,0.3253341530807436,0.8373329234596282,-0.1477708752798661,-0.09248279187626407,-0.1463517057282564,1.0,1.0
LSTM,LSTM A - MARKET SEQUENCE,2026,5.0,0.0,104,104,1.0,76,-0.0015627207237573632,-0.0020148498111676174,0.4230769230769231,0.009445139846257415,0.009635151808434866,0.7188714848469593,-0.000629126982245581,-0.1585399995258864,0.1275437387263599,-1.243024558547933,-1.754722293733775,-1.0586978740067197,0.29139515336575816,0.8543024233171209,-0.15605421393159025,-0.09742827883671801,-0.15392400974654763,1.0,1.0
LSTM,LSTM B - MARKET SEQUENCE + SEC,2026,5.0,0.0,104,104,1.0,76,-0.0022788814202002,-0.0029367409837715843,0.38461538461538464,0.009542865662146368,0.009667473346666806,0.6169441409319091,-0.0008828757911424424,-0.2224846993678955,0.12533400888249618,-1.7751343099260517,-2.4218720084943848,-1.463083420926951,0.14548253343510456,0.9272587332824477,-0.17154364014053858,-0.13211932472238064,-0.20630414080762538,1.0,1.0
