Family,Model,Portfolio_Type,Portfolio_Definition,Cost_Bps_Per_Side,Probability_Margin,Num_Candidate_Events,Num_Trades,Trade_Coverage,Active_Sessions,Mean_Trade_Return_Net,Median_Trade_Return_Net,Win_Rate,Avg_Win,Avg_Loss,Profit_Factor,Mean_Daily_Return_Net,Annualized_Return_Arithmetic,Annualized_Volatility,Sharpe,Sortino,HAC_t,HAC_p_value,HAC_p_value_Positive,Max_Drawdown,Cumulative_Return,CAGR,HAC_p_value_Holm,HAC_p_value_Positive_Holm,HAC_p_value_Positive_Global_Holm
XGBoost,XGB B - MARKET + SEC,Dividend,fixed_ex_ante_dividend_payers,0.0,0.05,231,186,0.8051948051948052,177,0.0016339005730984309,0.0008038300256842656,0.5483870967741935,0.008806982052797263,0.007076269795107291,1.5112754038966436,0.0003660479253478016,0.092244077187646,0.07456367901880222,1.2371181036330767,2.345076062031599,2.1609223995266196,0.030962790302084937,0.015481395151042469,-0.1137489432889831,0.37992971853825885,0.09327243540215346,1.0,1.0,1.0
XGBoost,XGB B - MARKET + SEC,Growth,fixed_ex_ante_growth_companies,0.0,0.05,297,248,0.835016835016835,219,6.562465890405298e-05,0.0006496028281860189,0.532258064516129,0.00793419449614255,0.008888265155884579,1.0157849695567907,5.0396250652433627e-05,0.012699855164413274,0.09179428762531618,0.13835125793721775,0.1921584707905961,0.2869741436958675,0.7741977353816385,0.38709886769081925,-0.1328772202103703,0.03101325890909945,0.008493401485157204,1.0,1.0,1.0
XGBoost,XGB B - MARKET + SEC,Momentum,positive_relative_momentum_60d,0.0,0.05,251,206,0.8207171314741036,188,0.0010775119957555327,0.0009570743957480476,0.5631067961165048,0.008635266991409008,0.008663594443086724,1.2846745944689695,0.00028356321663251517,0.07145793059139383,0.08828763887764673,0.809376391755404,1.258473309559656,1.6109602032095307,0.10753670229085235,0.05376835114542618,-0.10444192925343887,0.27530781982484753,0.06966137310909626,1.0,1.0,1.0
XGBoost,XGB B - MARKET + SEC,Value,fixed_ex_ante_mature_semiconductor_proxy,0.0,0.05,95,76,0.8,76,0.0024667315846061996,0.0018270809590276438,0.5526315789473685,0.011473656738349668,0.00865947007590044,1.6367445758868906,0.00020669415703425707,0.05208692757263278,0.061620989490579946,0.8452789869691295,1.5054803669488104,1.4575255734027581,0.1453178734352727,0.07265893671763635,-0.1050805211730853,0.19802144495364105,0.051303160162559536,1.0,1.0,1.0
XGBoost,XGB C - MARKET + SEC + FINBERT,Dividend,fixed_ex_ante_dividend_payers,0.0,0.05,231,195,0.8441558441558441,182,0.0014257217965680557,0.0007909263075999151,0.5435897435897435,0.008387925481860911,0.006866341019623436,1.4549398969114924,0.00028149730722704347,0.07093732142121495,0.07221124186015448,0.9823584194631825,1.7712403891412356,1.7488242119742081,0.08066005240429266,0.04033002620214633,-0.08170093506606568,0.2788724061062704,0.07048845299773943,1.0,1.0,1.0
XGBoost,XGB C - MARKET + SEC + FINBERT,Growth,fixed_ex_ante_growth_companies,0.0,0.05,297,244,0.8215488215488216,208,0.0007138715104743504,0.0009522569513126244,0.5327868852459017,0.008571825164662907,0.008246952832021372,1.1852727358539228,0.00014252440452803538,0.035916149941064915,0.08863702279079669,0.4052048321369628,0.5956770778102569,0.7920163097184716,0.42855848413771414,0.21427924206885707,-0.13806849145027844,0.12204430408465483,0.032401167746697546,1.0,1.0,1.0
XGBoost,XGB C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,0.0,0.05,251,201,0.8007968127490039,183,0.0014943365048697825,0.0009666412758597698,0.5522388059701493,0.008601429934004888,0.0072710787243968475,1.4589898767489078,0.00034355180754589955,0.08657505550156669,0.0799489936870238,1.0828786143385611,1.849625625543087,2.059156973673816,0.0397645349611559,0.01988226748057795,-0.08900966116194542,0.35003555700177125,0.08666193811904854,1.0,1.0,1.0
XGBoost,XGB C - MARKET + SEC + FINBERT,Value,fixed_ex_ante_mature_semiconductor_proxy,0.0,0.05,95,81,0.8526315789473684,81,0.0022466550838009373,0.0016075575053661195,0.5679012345679012,0.009963644096988461,0.007895673333531238,1.658512776014572,0.00020063843637031523,0.05056088596531944,0.05779249811370074,0.8748693622110978,1.6349319378355243,1.5704868285487241,0.11665104926870609,0.058325524634353046,-0.07672346866651658,0.19244483899662979,0.0499457503214773,1.0,1.0,1.0
CatBoost,CAT A - MARKET,Dividend,fixed_ex_ante_dividend_payers,0.0,0.1,231,115,0.49783549783549785,110,0.002428701519700585,0.0019678364566729223,0.6,0.009411068856418561,0.008044849485376376,1.7547380234134238,0.0003174498402309526,0.07999735973820006,0.06385036165675816,1.2528881225175152,2.4450222748392183,2.4362915837221077,0.01503044222361889,0.007515221111809445,-0.05429566253799012,0.3239472384942381,0.08080597532212708,1.0,0.608732910056565,1.0
CatBoost,CAT A - MARKET,Growth,fixed_ex_ante_growth_companies,0.0,0.1,297,160,0.5387205387205387,145,0.0008811839476245333,0.0007869924465553069,0.54375,0.009339204805759543,0.009198923102481575,1.209955236658545,0.0001402634481198703,0.03534638892620731,0.08191376933756894,0.4315072937315808,0.6403980752683143,0.8501298687563512,0.3954774868573164,0.1977387434286582,-0.10330594887189593,0.1220614377769349,0.032405533231451455,1.0,1.0,1.0
