Variant,Test_Year,Feature,Mean_Abs_SHAP,Mean_SHAP,Std_SHAP,Positive_Share,Negative_Share,Rank
B,2024,Stock_vs_QQQ_5D,0.13322629712776526,-0.008990449129955957,0.1796746085515165,0.36065573770491804,0.639344262295082,8
B,2024,Relative_Volume_20D,0.12531829287058807,-0.021818126799181117,0.15906755558231092,0.5737704918032787,0.4262295081967213,9
B,2024,QQQ_Volatility_14D,0.10454302243496034,-0.07372557193369912,0.14304667940218457,0.3524590163934426,0.6475409836065574,10
B,2024,Intraday_Return,0.08575130597150438,-0.028306023356699586,0.11453517536058379,0.4344262295081967,0.5655737704918032,11
B,2024,QQQ_Log_Return_5D,0.05788799392945172,0.0035572263644452905,0.08569854477411372,0.4016393442622951,0.5983606557377049,12
B,2024,QQQ_Log_Return_3D,0.05594319801309742,0.004378947194686698,0.07433204829955672,0.45081967213114754,0.5491803278688525,13
B,2024,Stock_vs_QQQ_3D,0.05170225281616711,0.0015387005327913382,0.07931126370882825,0.4426229508196721,0.5573770491803278,14
B,2024,Has_EX99,0.05160615219221098,0.0030550331712614807,0.05703214340720134,0.4672131147540984,0.5327868852459017,15
B,2024,Has_Item_7_01,0.04045408955984415,0.0012544731396044262,0.06147657419421619,0.1721311475409836,0.8278688524590164,16
B,2024,Has_Item_1_01,0.031427488478920254,-0.007271478752792753,0.06244213922514231,0.1885245901639344,0.8114754098360656,17
B,2024,Has_Event_Earnings,0.019961648870998147,-0.0005969572224834523,0.02212285621371347,0.5,0.5,18
B,2024,Has_Event_Guidance,0.014741344567832656,-0.0019048918681164439,0.024363425212305882,0.4918032786885246,0.5081967213114754,19
B,2024,Has_Item_2_02,0.014396662921484563,-0.004789504457858493,0.016417598037463784,0.45901639344262296,0.5409836065573771,20
B,2024,Has_Item_8_01,0.013148015152279237,-0.0013926684050977777,0.017624259250295742,0.5163934426229508,0.48360655737704916,21
B,2024,Has_Item_5_03,0.011794375225068926,0.00232609857256666,0.033643581564325314,0.16393442622950818,0.8360655737704918,22
B,2024,Has_Item_5_02,0.007287589977853222,-0.0007800821796048194,0.010206612288762329,0.2786885245901639,0.7213114754098361,23
B,2024,Has_Item_5_07,0.0021938402975714396,-0.0009438750958025778,0.00994341861723847,0.16393442622950818,0.8360655737704918,24
B,2024,Has_Item_2_03,0.001895255968986047,-0.0010519960507894685,0.002431679596744913,0.3114754098360656,0.6885245901639344,25
B,2024,Has_Event_Buyback,0.0,0.0,0.0,0.0,0.0,26
B,2024,Has_Item_1_02,0.0,0.0,0.0,0.0,0.0,27
B,2024,Has_Item_2_01,0.0,0.0,0.0,0.0,0.0,28
C,2024,QQQ_Log_Return_1D,0.19433281627894633,-0.01505716426349904,0.23510775680429344,0.3442622950819672,0.6557377049180327,1
C,2024,Daily_Range,0.1826765005370274,0.01761356654660797,0.2066361055837891,0.6147540983606558,0.38524590163934425,2
C,2024,Ticker,0.15754621486676898,-0.016238353471881316,0.19966373916964641,0.29508196721311475,0.7049180327868853,3
C,2024,RSI_14,0.1529782246335964,-0.01734826371192846,0.19842022266308285,0.45901639344262296,0.5409836065573771,4
C,2024,Stock_vs_QQQ_5D,0.14886996040258524,0.02058199268682358,0.204613666914572,0.4426229508196721,0.5573770491803278,5
C,2024,Relative_Volume_20D,0.14622374216397824,-0.04048529966394582,0.17997537603176617,0.6475409836065574,0.3524590163934426,6
C,2024,Price_to_SMA20,0.14190239627303353,-0.04405207970024523,0.17343094642446785,0.36885245901639346,0.6311475409836066,7
C,2024,Volatility_14D,0.11780977263556482,0.011841605706477954,0.1440211897223213,0.45901639344262296,0.5409836065573771,8
C,2024,Stock_vs_QQQ_1D,0.11475749916827518,0.0121764202659711,0.14351729352556708,0.6147540983606558,0.38524590163934425,9
C,2024,QQQ_Volatility_14D,0.09280834002089262,-0.05760823389701577,0.12261390002540609,0.3114754098360656,0.6885245901639344,10
C,2024,Sentiment_Momentum_3,0.08693434639162835,-0.02385337491387748,0.10856396725791917,0.45081967213114754,0.5491803278688525,11
C,2024,Intraday_Return,0.07571896304897122,-0.019248311994828148,0.09510989018290358,0.45901639344262296,0.5409836065573771,12
C,2024,Mean_Net_Sentiment,0.06326743399838754,0.004993047588396831,0.0830616616895867,0.5655737704918032,0.4344262295081967,13
C,2024,QQQ_Log_Return_5D,0.05971448698052931,-0.010847770233610634,0.08092066958863761,0.319672131147541,0.680327868852459,14
C,2024,QQQ_Log_Return_3D,0.050129026824560906,-0.016805731005827242,0.05732703296341329,0.36065573770491804,0.639344262295082,15
C,2024,Stock_vs_QQQ_3D,0.04851893041214284,0.008035405073241726,0.08404349617839074,0.3360655737704918,0.6639344262295082,16
C,2024,Has_EX99,0.039218091282560014,0.014653655664656137,0.04540650127842881,0.5491803278688525,0.45081967213114754,17
C,2024,Has_Item_1_01,0.0297976817475639,-0.009948506403323426,0.05390540749237189,0.05737704918032787,0.9426229508196722,18
C,2024,Has_Item_7_01,0.02913653585389,0.002454817644970185,0.04465137056373633,0.23770491803278687,0.7622950819672131,19
C,2024,Has_Event_Guidance,0.017384638614130053,-0.002437234033017619,0.02222202928103728,0.3360655737704918,0.6639344262295082,20
C,2024,Has_Item_5_02,0.01295746523875802,0.0009785351528769093,0.02100999575052926,0.5081967213114754,0.4918032786885246,21
C,2024,Has_Item_8_01,0.008036533997644094,5.271381419943509e-05,0.010717237907042486,0.47540983606557374,0.5245901639344263,22
C,2024,Has_Item_5_03,0.0039022522487088497,-0.0013818989726102299,0.008481389402638337,0.040983606557377046,0.9590163934426229,23
C,2024,Has_Event_Buyback,0.0035210984499810345,-0.0005345446862040175,0.00990689351118077,0.4016393442622951,0.5983606557377049,24
C,2024,Has_Item_1_02,0.0017977648479533474,0.0004837784080914183,0.006762457845410127,0.6475409836065574,0.3524590163934426,25
C,2024,Has_Sentiment_History,0.0011719211503990563,-0.0011120335573940048,0.00041816839937918344,0.04918032786885246,0.9508196721311475,26
C,2024,Has_Event_Earnings,0.0,0.0,0.0,0.0,0.0,27
C,2024,Has_Item_2_03,0.0,0.0,0.0,0.0,0.0,28
C,2024,Has_Item_2_02,0.0,0.0,0.0,0.0,0.0,29
C,2024,Has_Item_2_01,0.0,0.0,0.0,0.0,0.0,30
C,2024,Has_Item_5_07,0.0,0.0,0.0,0.0,0.0,31
A,2025,Relative_Volume_20D,0.18277633631629361,0.022606108122786236,0.2197362421185369,0.6666666666666666,0.3333333333333333,1
A,2025,Daily_Range,0.12879398512182863,0.017645491372733833,0.14719343395538706,0.7133333333333334,0.2866666666666667,2
A,2025,RSI_14,0.12561838484995722,0.01353965318075419,0.16433572009949385,0.37333333333333335,0.6266666666666667,3
A,2025,QQQ_Log_Return_1D,0.1234451902484682,-0.05384070243037737,0.1546069276666665,0.21333333333333335,0.7866666666666666,4
A,2025,Stock_vs_QQQ_5D,0.11781149215893465,-0.004223618875703477,0.15224484498712948,0.41333333333333333,0.5866666666666667,5
A,2025,Stock_vs_QQQ_1D,0.10335154111317303,0.0009311316045953213,0.1264697208486467,0.6066666666666667,0.3933333333333333,6
A,2025,Ticker,0.09974372091131131,-0.007535755310728045,0.1231610758073974,0.46,0.54,7
A,2025,QQQ_Log_Return_3D,0.09556367883108571,-0.015589433057345576,0.10397766984832546,0.32,0.68,8
A,2025,Volatility_14D,0.08300107219397357,0.01710317074991527,0.1049834592458326,0.44,0.56,9
A,2025,Price_to_SMA20,0.07920079324653272,0.012790487779779298,0.12130175483214585,0.4866666666666667,0.5133333333333333,10
A,2025,QQQ_Volatility_14D,0.06617273556003601,-0.007032434635793924,0.07895507207297733,0.41333333333333333,0.5866666666666667,11
A,2025,Intraday_Return,0.0541831783445258,0.004542283008026294,0.06699732198074276,0.6066666666666667,0.3933333333333333,12
A,2025,QQQ_Log_Return_5D,0.04487435858012389,-0.01258317949090039,0.0592906331895813,0.4,0.6,13
A,2025,Stock_vs_QQQ_3D,0.03431171258967708,0.0015654632829640513,0.0473840469452794,0.46,0.54,14
B,2025,Relative_Volume_20D,0.20645018398251386,0.02589917252914662,0.26218630994732744,0.6666666666666666,0.3333333333333333,1
B,2025,RSI_14,0.1896560997917841,0.04908158029066011,0.24167992631274515,0.47333333333333333,0.5266666666666666,2
B,2025,Stock_vs_QQQ_5D,0.18782104890052886,-0.033770171830792894,0.24315144320954707,0.3933333333333333,0.6066666666666667,3
B,2025,Stock_vs_QQQ_1D,0.14044469422492245,0.014191652270978251,0.17202550120033944,0.64,0.36,4
B,2025,QQQ_Log_Return_3D,0.13661444983207613,-0.014049870519645262,0.15403629818179648,0.4066666666666667,0.5933333333333334,5
B,2025,Ticker,0.13002605498918482,0.00725956208018308,0.16385388797373154,0.49333333333333335,0.5066666666666667,6
B,2025,QQQ_Log_Return_1D,0.1287266481096015,-0.05266534928684476,0.14829705853970407,0.20666666666666667,0.7933333333333333,7
B,2025,Daily_Range,0.11289259890408027,0.01459550253975331,0.14162590972535477,0.6866666666666666,0.31333333333333335,8
B,2025,Volatility_14D,0.10520587416219729,0.028975666583839505,0.1331815970866686,0.5133333333333333,0.4866666666666667,9
B,2025,Price_to_SMA20,0.0951787025375184,-4.526172583859104e-05,0.1408435350581991,0.4866666666666667,0.5133333333333333,10
B,2025,Intraday_Return,0.08965303994164613,0.010064844738870945,0.10399295546063844,0.6,0.4,11
B,2025,QQQ_Volatility_14D,0.079178065013453,-0.02284221133791754,0.09504777485747767,0.31333333333333335,0.6866666666666666,12
B,2025,Has_Item_1_01,0.07223594786716762,0.007735675877990027,0.15099293285060572,0.19333333333333333,0.8066666666666666,13
B,2025,QQQ_Log_Return_5D,0.07021588259007522,-0.001894348587766773,0.10335109749587268,0.4,0.6,14
B,2025,Stock_vs_QQQ_3D,0.05979121529914644,-0.023452616863952256,0.08017590294121192,0.42,0.58,15
B,2025,Has_EX99,0.05141369351426889,0.01430903152113445,0.05925210909380688,0.5466666666666666,0.4533333333333333,16
B,2025,Has_Event_Guidance,0.023305356518725374,-0.0023671583922276313,0.03709291959921722,0.24666666666666667,0.7533333333333333,17
B,2025,Has_Item_5_03,0.017180323698832795,-0.002749220272424157,0.04217699951526364,0.04,0.96,18
B,2025,Has_Item_8_01,0.016484669511644137,0.0031925212282474993,0.024235610379513182,0.5866666666666667,0.41333333333333333,19
B,2025,Has_Event_Earnings,0.015979295308503325,-0.005689989283154373,0.020434090761906876,0.5066666666666667,0.49333333333333335,20
B,2025,Has_Item_7_01,0.014867935053399645,-0.0027409395862400578,0.02243484440920373,0.18,0.82,21
B,2025,Has_Item_5_02,0.0103642640396654,-0.0006787414325090917,0.017999246395957524,0.38666666666666666,0.6133333333333333,22
B,2025,Has_Item_5_07,0.009457127165745429,0.001147943182908532,0.017861495205372346,0.8466666666666667,0.15333333333333332,23
B,2025,Has_Event_Buyback,0.006455669854699411,0.0014132336713634404,0.016435183613435652,0.41333333333333333,0.5866666666666667,24
B,2025,Has_Item_1_02,0.0010367906356512104,8.451708919370943e-05,0.00319806053259961,0.8066666666666666,0.19333333333333333,25
B,2025,Has_Item_2_01,0.00025642360706686426,-0.00012446178128006926,0.0014221973731567987,0.02,0.98,26
B,2025,Has_Item_2_03,0.0,0.0,0.0,0.0,0.0,27
B,2025,Has_Item_2_02,0.0,0.0,0.0,0.0,0.0,28
C,2025,Relative_Volume_20D,0.1822660652164968,0.014608766313877227,0.22825899493281807,0.7,0.3,1
C,2025,RSI_14,0.153685793339877,0.02895089605367809,0.1966226600728972,0.47333333333333333,0.5266666666666666,2
C,2025,Stock_vs_QQQ_1D,0.14753432641513303,0.0011189780416046803,0.18285008747592507,0.6066666666666667,0.3933333333333333,3
C,2025,QQQ_Log_Return_1D,0.14052744854606958,-0.055548019075236266,0.18067228230684634,0.2733333333333333,0.7266666666666667,4
C,2025,Stock_vs_QQQ_5D,0.12725893389688583,-0.013533411388315354,0.1624588420513923,0.48,0.52,5
C,2025,QQQ_Log_Return_3D,0.12139481016940742,-0.027265628642852112,0.13156898833471073,0.34,0.66,6
C,2025,Intraday_Return,0.12005736087098251,0.00032893366677533655,0.14274753769754822,0.6066666666666667,0.3933333333333333,7
C,2025,QQQ_Volatility_14D,0.11089514710598827,-0.04329203124613601,0.15131933034637549,0.36,0.64,8
C,2025,Daily_Range,0.10948580976726241,0.0028454475030522002,0.1362740835093586,0.6733333333333333,0.32666666666666666,9
C,2025,Volatility_14D,0.08720673309761735,0.009210236954714044,0.10639943570382633,0.4866666666666667,0.5133333333333333,10
C,2025,Price_to_SMA20,0.08355657042276242,-0.011184428637868752,0.13071368534110164,0.36,0.64,11
C,2025,Sentiment_Momentum_3,0.0794980942241712,-0.00427768212904395,0.10724574700674999,0.4533333333333333,0.5466666666666666,12
C,2025,QQQ_Log_Return_5D,0.07418150936305297,0.006805762264894486,0.11715565525599125,0.5066666666666667,0.49333333333333335,13
C,2025,Ticker,0.06370923272164473,-0.007817285262255804,0.08121479459958425,0.32,0.68,14
C,2025,Has_Item_1_01,0.06094136342455307,-0.001254151439721471,0.11772481652899218,0.16,0.84,15
C,2025,Stock_vs_QQQ_3D,0.05034146315856007,-0.0025120746592256662,0.07140932724712808,0.44666666666666666,0.5533333333333333,16
C,2025,Mean_Net_Sentiment,0.04969902531427193,-0.0008941240942067426,0.07348991635625937,0.49333333333333335,0.5066666666666667,17
C,2025,Has_EX99,0.03592300484426365,0.012493708580058207,0.040938010237745924,0.6333333333333333,0.36666666666666664,18
C,2025,Has_Item_5_03,0.016425622548597345,-0.00500392365424542,0.039491888955289635,0.16666666666666666,0.8333333333333334,19
C,2025,Has_Item_7_01,0.013230834459037846,-0.0022160029207459703,0.020810488019264606,0.29333333333333333,0.7066666666666667,20
C,2025,Has_Item_5_02,0.011872166486965909,0.0013589710769621596,0.0161714103576267,0.4866666666666667,0.5133333333333333,21
C,2025,Has_Item_5_07,0.009111937041955469,0.0007597255652335302,0.01892372665737663,0.8933333333333333,0.10666666666666667,22
C,2025,Has_Event_Guidance,0.008959809081980583,-0.0017389051209561065,0.011303347136420337,0.34,0.66,23
C,2025,Has_Event_Earnings,0.005324290607094963,-0.0019311558315478817,0.00847545809748154,0.2866666666666667,0.7133333333333334,24
C,2025,Has_Item_8_01,0.00220059570689667,-0.0006549044824793976,0.009215711034292817,0.29333333333333333,0.7066666666666667,25
C,2025,Has_Item_2_03,0.002103764776215615,-0.0007693738047068062,0.0047756659114303575,0.26,0.74,26
C,2025,Has_Sentiment_History,0.0011823373788273403,-0.0008817074618320901,0.001491054590788531,0.28,0.72,27
C,2025,Has_Item_1_02,0.0007220325368091879,3.992339923628445e-05,0.002978999475815661,0.9866666666666667,0.013333333333333334,28
C,2025,Has_Item_2_02,0.0,0.0,0.0,0.0,0.0,29
C,2025,Has_Event_Buyback,0.0,0.0,0.0,0.0,0.0,30
C,2025,Has_Item_2_01,0.0,0.0,0.0,0.0,0.0,31
A,2026,Relative_Volume_20D,0.1638766876234498,0.00044566587531770865,0.20223529945761862,0.4423076923076923,0.5576923076923077,1
A,2026,Stock_vs_QQQ_5D,0.14332603508221306,0.029002147930845514,0.16840677614207653,0.41346153846153844,0.5865384615384616,2
A,2026,Stock_vs_QQQ_1D,0.11223081420013772,0.01032872231607851,0.1308658450234642,0.5673076923076923,0.4326923076923077,3
A,2026,QQQ_Log_Return_1D,0.10111587495547712,0.02744845462562166,0.11751327031986948,0.49038461538461536,0.5096153846153846,4
A,2026,Daily_Range,0.1002825040425075,-0.005468201057090053,0.12057724372582683,0.6442307692307693,0.3557692307692308,5
A,2026,QQQ_Log_Return_3D,0.09756011301688697,-0.008325091614248194,0.11243949418269855,0.33653846153846156,0.6634615384615384,6
A,2026,Price_to_SMA20,0.09359168828733645,0.02464569986702456,0.15130353557893428,0.375,0.625,7
A,2026,Volatility_14D,0.08035627229954968,0.008359000268867808,0.09529417186053166,0.5,0.5,8
A,2026,Ticker,0.0739574946815649,0.004608414831246927,0.10243557300328225,0.5576923076923077,0.4423076923076923,9
A,2026,RSI_14,0.06462234242759743,0.0039073199352635335,0.07876740744482749,0.3942307692307692,0.6057692307692307,10
A,2026,QQQ_Log_Return_5D,0.059198763003292285,-0.0081350554340783,0.08831609785795082,0.4807692307692308,0.5192307692307693,11
