Variant,Test_Year,Feature,Mean_Abs_SHAP,Mean_SHAP,Std_SHAP,Positive_Share,Negative_Share,Rank
C,2023,market__Stock_vs_QQQ_3D,0.20915350441868275,-0.03616588913946081,0.24306633502633027,0.4491525423728814,0.5508474576271186,5
C,2023,market__Stock_vs_QQQ_5D,0.19015683985504686,0.032115048369771595,0.2224442346307111,0.3983050847457627,0.6016949152542372,6
C,2023,market__Relative_Volume_20D,0.17551087779071878,-0.03250837217132419,0.21853499878661886,0.4491525423728814,0.5508474576271186,7
C,2023,sentiment__Mean_Net_Sentiment,0.16840065401678872,-0.02661903194641158,0.20500501610914343,0.559322033898305,0.4406779661016949,8
C,2023,market__Price_to_SMA20,0.1564830634348347,-0.04799515731096015,0.18328163167758563,0.4491525423728814,0.5508474576271186,9
C,2023,market__Volatility_14D,0.15207294704218915,-0.004017056403997339,0.16320389439072905,0.4491525423728814,0.5508474576271186,10
C,2023,market__Intraday_Return,0.1461358011100378,-0.015548531778977585,0.16785161314864774,0.3644067796610169,0.635593220338983,11
C,2023,market__Daily_Range,0.14361459010485875,0.046666430025282556,0.1620039068444607,0.7966101694915254,0.2033898305084746,12
C,2023,market__QQQ_Log_Return_5D,0.12993540496454906,0.012061996180248462,0.16092919108098377,0.6694915254237288,0.3305084745762712,13
C,2023,sentiment__Sentiment_Momentum_3,0.10087322149725662,-0.004411106175443126,0.1275997917217777,0.4576271186440678,0.5423728813559322,14
C,2023,market__QQQ_Log_Return_3D,0.04901172392764839,-0.011012930943930552,0.05847007396897322,0.3644067796610169,0.635593220338983,15
C,2023,binary__Has_Event_Earnings,0.030801138177640356,-0.0035874130267460466,0.03238466221985887,0.4576271186440678,0.5423728813559322,16
C,2023,binary__Has_Item_8_01,0.02999982215716677,0.004660557008395761,0.03536989532766091,0.788135593220339,0.211864406779661,17
C,2023,binary__Has_EX99,0.02426254567769119,-0.0009918176426978434,0.026469255707465545,0.4067796610169492,0.5932203389830508,18
C,2023,binary__Has_Item_2_02,0.011879738416301749,-0.00032849668651440387,0.014083490021609713,0.5169491525423728,0.4830508474576271,19
C,2023,ticker__Ticker_INTC,0.0,0.0,0.0,0.0,0.0,20
C,2023,ticker__Ticker_GOOGL,0.0,0.0,0.0,0.0,0.0,21
C,2023,ticker__Ticker_AAPL,0.0,0.0,0.0,0.0,0.0,22
C,2023,ticker__Ticker_ADBE,0.0,0.0,0.0,0.0,0.0,23
C,2023,ticker__Ticker_AMD,0.0,0.0,0.0,0.0,0.0,24
C,2023,ticker__Ticker_AMZN,0.0,0.0,0.0,0.0,0.0,25
C,2023,ticker__Ticker_AVGO,0.0,0.0,0.0,0.0,0.0,26
C,2023,ticker__Ticker_TSLA,0.0,0.0,0.0,0.0,0.0,27
C,2023,ticker__Ticker_QCOM,0.0,0.0,0.0,0.0,0.0,28
C,2023,ticker__Ticker_NVDA,0.0,0.0,0.0,0.0,0.0,29
C,2023,ticker__Ticker_NFLX,0.0,0.0,0.0,0.0,0.0,30
C,2023,ticker__Ticker_MSFT,0.0,0.0,0.0,0.0,0.0,31
C,2023,ticker__Ticker_META,0.0,0.0,0.0,0.0,0.0,32
C,2023,binary__Has_Event_Buyback,0.0,0.0,0.0,0.0,0.0,33
C,2023,binary__Has_Event_Guidance,0.0,0.0,0.0,0.0,0.0,34
C,2023,binary__Has_Item_2_03,0.0,0.0,0.0,0.0,0.0,35
C,2023,binary__Has_Item_1_02,0.0,0.0,0.0,0.0,0.0,36
C,2023,binary__Has_Item_1_01,0.0,0.0,0.0,0.0,0.0,37
C,2023,binary__Has_Item_5_02,0.0,0.0,0.0,0.0,0.0,38
C,2023,binary__Has_Item_7_01,0.0,0.0,0.0,0.0,0.0,39
C,2023,binary__Has_Item_5_07,0.0,0.0,0.0,0.0,0.0,40
C,2023,binary__Has_Item_5_03,0.0,0.0,0.0,0.0,0.0,41
C,2023,binary__Has_Sentiment_History,0.0,0.0,0.0,0.0,0.0,42
A,2024,market__QQQ_Log_Return_1D,0.2795385001990639,-0.03406613442252894,0.32073139999725786,0.4098360655737705,0.5901639344262295,1
A,2024,market__Daily_Range,0.27742136907229414,0.018776397701719256,0.32234285430539467,0.6721311475409836,0.32786885245901637,2
A,2024,market__QQQ_Volatility_14D,0.24462882032404182,-0.20103644039176527,0.18682500891355885,0.13934426229508196,0.860655737704918,3
A,2024,market__Stock_vs_QQQ_5D,0.24065263946846005,0.023766773352094116,0.279275545762538,0.38524590163934425,0.6147540983606558,4
A,2024,market__Price_to_SMA20,0.20423524388585423,-0.07313415647835517,0.22994546210322858,0.4426229508196721,0.5573770491803278,5
A,2024,market__RSI_14,0.1953058163253743,-0.021319373449707617,0.2466452874011752,0.39344262295081966,0.6065573770491803,6
A,2024,market__Relative_Volume_20D,0.16929886245061873,-0.0444678516646267,0.22365869246624448,0.48360655737704916,0.5163934426229508,7
A,2024,market__QQQ_Log_Return_3D,0.16676866488348022,-0.012408048700785539,0.20466016985644064,0.36885245901639346,0.6311475409836066,8
A,2024,market__Volatility_14D,0.1497746774102332,0.025295144924130597,0.17975885791071092,0.4426229508196721,0.5573770491803278,9
A,2024,market__Stock_vs_QQQ_3D,0.12912400987487835,0.009391949420458958,0.15353626079385727,0.4672131147540984,0.5327868852459017,10
A,2024,market__Intraday_Return,0.1260179892701448,-0.04653596948282641,0.1463648065994987,0.5,0.5,11
A,2024,market__Stock_vs_QQQ_1D,0.10452881161520472,0.007083930754576062,0.139336949676427,0.6065573770491803,0.39344262295081966,12
A,2024,market__QQQ_Log_Return_5D,0.06734641818482368,-0.007341595786455713,0.085636045404084,0.5,0.5,13
A,2024,ticker__Ticker_INTC,0.013525786578701045,-0.0025116302947071,0.023497558322830868,0.860655737704918,0.13934426229508196,14
A,2024,ticker__Ticker_ADBE,0.0,0.0,0.0,0.0,0.0,15
A,2024,ticker__Ticker_AMD,0.0,0.0,0.0,0.0,0.0,16
A,2024,ticker__Ticker_AMZN,0.0,0.0,0.0,0.0,0.0,17
A,2024,ticker__Ticker_AAPL,0.0,0.0,0.0,0.0,0.0,18
A,2024,ticker__Ticker_AVGO,0.0,0.0,0.0,0.0,0.0,19
A,2024,ticker__Ticker_GOOGL,0.0,0.0,0.0,0.0,0.0,20
A,2024,ticker__Ticker_META,0.0,0.0,0.0,0.0,0.0,21
A,2024,ticker__Ticker_MSFT,0.0,0.0,0.0,0.0,0.0,22
A,2024,ticker__Ticker_NFLX,0.0,0.0,0.0,0.0,0.0,23
A,2024,ticker__Ticker_NVDA,0.0,0.0,0.0,0.0,0.0,24
A,2024,ticker__Ticker_QCOM,0.0,0.0,0.0,0.0,0.0,25
A,2024,ticker__Ticker_TSLA,0.0,0.0,0.0,0.0,0.0,26
B,2024,market__Daily_Range,0.26692266404995174,0.020388325676321983,0.30605367375754977,0.7131147540983607,0.28688524590163933,1
B,2024,market__QQQ_Log_Return_1D,0.26684133150446854,-0.039814386768724584,0.30661712704185484,0.39344262295081966,0.6065573770491803,2
B,2024,market__QQQ_Volatility_14D,0.2405446998500189,-0.1931762954098035,0.1991324758017108,0.16393442622950818,0.8360655737704918,3
B,2024,market__Stock_vs_QQQ_5D,0.23268296071862588,0.009328300194417844,0.26499463958082187,0.3770491803278688,0.6229508196721312,4
B,2024,market__Price_to_SMA20,0.1977952290727131,-0.04717196984270007,0.23529961034296085,0.45901639344262296,0.5409836065573771,5
B,2024,market__RSI_14,0.19373695250050943,-0.026034758838473775,0.24233122318189285,0.3770491803278688,0.6229508196721312,6
B,2024,market__Relative_Volume_20D,0.17848243931361826,-0.06074918913998504,0.23009948667827482,0.5,0.5,7
B,2024,market__QQQ_Log_Return_3D,0.1701787590243869,-0.004172349613938542,0.20290225535264753,0.3360655737704918,0.6639344262295082,8
B,2024,market__Volatility_14D,0.16662878495808997,0.020130699698920132,0.20587146133137113,0.45901639344262296,0.5409836065573771,9
B,2024,market__Stock_vs_QQQ_1D,0.15822529627132367,0.054308137009072985,0.1954052794732656,0.6967213114754098,0.30327868852459017,10
B,2024,market__Stock_vs_QQQ_3D,0.1332432324769067,0.0041410424364883396,0.15098225807563292,0.45901639344262296,0.5409836065573771,11
B,2024,market__Intraday_Return,0.11915537334795369,-0.045278078494746174,0.13318885214743956,0.5,0.5,12
B,2024,market__QQQ_Log_Return_5D,0.08585732292048022,0.013513652439855162,0.10848462067466418,0.5573770491803278,0.4426229508196721,13
B,2024,binary__Has_EX99,0.04347707908295217,-0.005765341145948308,0.04771861292001226,0.3770491803278688,0.6229508196721312,14
B,2024,binary__Has_Item_5_02,0.016257762947104504,0.0029668990049327984,0.01977918982617752,0.7786885245901639,0.22131147540983606,15
B,2024,binary__Has_Item_7_01,0.015493622099308938,0.0011447300241313508,0.022410503867205073,0.16393442622950818,0.8360655737704918,16
B,2024,ticker__Ticker_INTC,0.012832838488498428,-0.0024185108944590463,0.022862318620789645,0.860655737704918,0.13934426229508196,17
B,2024,binary__Has_Event_Earnings,0.010736220829249894,-0.003174321451148049,0.0125903478418905,0.47540983606557374,0.5245901639344263,18
B,2024,binary__Has_Item_8_01,0.007443357898365157,0.0013228153264088953,0.010085992158112223,0.5983606557377049,0.4016393442622951,19
B,2024,ticker__Ticker_AVGO,0.0,0.0,0.0,0.0,0.0,20
B,2024,ticker__Ticker_AMD,0.0,0.0,0.0,0.0,0.0,21
B,2024,ticker__Ticker_AMZN,0.0,0.0,0.0,0.0,0.0,22
B,2024,ticker__Ticker_ADBE,0.0,0.0,0.0,0.0,0.0,23
