Variant,Feature,Mean_Abs_SHAP,Std_Abs_SHAP_Across_Folds,Mean_SHAP,Mean_Positive_Share,Mean_Negative_Share,N_Folds,Presence_Rate
C,ticker__Ticker_MSFT,0.00849789658609109,0.011064586706333406,-0.0028909729707699556,0.022948717948717952,0.47705128205128206,4,1.0
C,binary__Has_Item_5_02,0.004772665028095957,0.006108002236369488,0.0009858234986104425,0.1848203026481715,0.3151796973518285,4,1.0
C,binary__Has_Item_5_07,0.0024262197906724536,0.004852439581344907,0.00022124034316780476,0.22355769230769232,0.026442307692307692,4,1.0
C,binary__Has_Event_Buyback,0.0,0.0,0.0,0.0,0.0,4,1.0
C,binary__Has_Item_1_02,0.0,0.0,0.0,0.0,0.0,4,1.0
C,binary__Has_Item_2_01,0.0,0.0,0.0,0.0,0.0,3,0.75
C,binary__Has_Item_2_03,0.0,0.0,0.0,0.0,0.0,4,1.0
C,binary__Has_Item_5_03,0.0,0.0,0.0,0.0,0.0,4,1.0
C,binary__Has_Sentiment_History,0.0,0.0,0.0,0.0,0.0,4,1.0
C,ticker__Ticker_AAPL,0.0,0.0,0.0,0.0,0.0,4,1.0
C,ticker__Ticker_ADBE,0.0,0.0,0.0,0.0,0.0,4,1.0
C,ticker__Ticker_AMD,0.0,0.0,0.0,0.0,0.0,4,1.0
C,ticker__Ticker_AMZN,0.0,0.0,0.0,0.0,0.0,4,1.0
C,ticker__Ticker_AVGO,0.0,0.0,0.0,0.0,0.0,4,1.0
C,ticker__Ticker_GOOGL,0.0,0.0,0.0,0.0,0.0,4,1.0
C,ticker__Ticker_META,0.0,0.0,0.0,0.0,0.0,4,1.0
C,ticker__Ticker_NFLX,0.0,0.0,0.0,0.0,0.0,4,1.0
C,ticker__Ticker_NVDA,0.0,0.0,0.0,0.0,0.0,4,1.0
C,ticker__Ticker_QCOM,0.0,0.0,0.0,0.0,0.0,4,1.0
C,ticker__Ticker_TSLA,0.0,0.0,0.0,0.0,0.0,4,1.0
